execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,458,"[13.714285714285715,1][9.8,83][8.8,85][8.75,86]"
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,4498,"[15.666666666666666,1][13.8,2][13.714285714285715,3][10.818181818181818,31][8.75,45]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,223,"[13.8,1][13.714285714285715,2][10.818181818181818,39][10.75,44][9.8,46][9.75,53][9.666666666666666,56][8.8,63][8.75,66]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,1147,"[13.714285714285715,1][10.818181818181818,28][10.666666666666666,46][9.8,94][9.777777777777779,95][8.75,96]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,2190,"[15.666666666666666,1][13.8,2][13.714285714285715,3][10.818181818181818,31][10.666666666666666,45][9.777777777777779,167][8.8,168][8.75,170][8.333333333333332,205]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,4437,"[13.714285714285715,1][10.818181818181818,26][8.8,261][8.75,2042]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,3941,"[13.714285714285715,1][12.818181818181818,10][10.818181818181818,39][9.8,70][9.75,102][9.666666666666666,688][8.75,691][8.333333333333332,712]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,5668,"[13.8,1][13.714285714285715,2][10.818181818181818,81][8.8,394][8.75,406][8.333333333333332,3563]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,10.666666666666700,8768,"[13.714285714285715,1][10.818181818181818,18][10.666666666666666,36]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,11007,"[13.714285714285715,1][10.818181818181818,100][10.666666666666666,130][10.5,287][8.8,288][8.75,290]"
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,11049,"[13.714285714285715,1][10.818181818181818,172][10.5,199][8.8,2183][8.75,2184]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,4068,"[13.714285714285715,1][8.75,15][8.333333333333332,884]"
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,1710,"[15.666666666666666,1][13.8,2][13.714285714285715,5][12.818181818181818,19][10.818181818181818,80][10.666666666666666,111][8.8,596][8.75,601]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,4374,"[13.714285714285715,1][12.818181818181818,91][10.818181818181818,104][8.8,608][8.75,847][8.333333333333332,868]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,5270,"[13.714285714285715,1][10.818181818181818,6][10.75,11][9.8,12][8.75,4660]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.8,1418,"[13.714285714285715,1][10.818181818181818,18][10.666666666666666,21][8.8,487]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,6166,"[13.714285714285715,1][10.818181818181818,16][10.666666666666666,237][8.8,380][8.75,381][8.333333333333332,438]"
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,7443,"[13.714285714285715,1][10.818181818181818,354][10.5,1028][9.8,1051][9.666666666666666,1088][8.8,1090][8.75,1091]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,9616,"[13.8,1][13.714285714285715,2][12.818181818181818,239][10.818181818181818,245][8.8,275][8.75,546]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,6452,"[13.714285714285715,1][10.818181818181818,26][10.5,287][8.8,594][8.75,595][8.333333333333332,1039]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,6739,"[13.8,1][13.714285714285715,4][12.818181818181818,26][8.8,67][8.75,71][8.333333333333332,2330]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,10.666666666666700,258,"[13.8,1][13.714285714285715,3][10.818181818181818,57][10.666666666666666,80]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,10882,"[13.8,1][13.714285714285715,4][10.818181818181818,107][8.75,1447]"
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,631,"[13.8,1][13.714285714285715,2][12.818181818181818,88][12.777777777777779,106][12.333333333333332,110][10.818181818181818,124][10.5,212][8.75,293][8.333333333333332,539]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,1078,"[13.8,1][13.714285714285715,2][10.818181818181818,41][8.8,61][8.75,935][8.333333333333332,984]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,4909,"[13.8,1][13.714285714285715,2][12.818181818181818,325][10.818181818181818,336][10.666666666666666,344][8.8,1058][8.75,1062][8.333333333333332,1068]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,4900,"[13.8,1][13.714285714285715,2][10.818181818181818,29][10.666666666666666,31][10.5,35][8.8,44][8.333333333333332,51]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,6055,"[15.666666666666666,1][13.714285714285715,2][10.818181818181818,43][10.666666666666666,50][10.5,123][8.8,1024][8.75,1961]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,2687,"[13.714285714285715,1][12.818181818181818,21][8.75,42]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,1945,"[15.666666666666666,1][13.8,2][13.714285714285715,3][8.75,395]"
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,4705,"[17.5,1][13.8,6][13.666666666666666,107][12.8,178][10.894736842105264,766][10.88888888888889,768][9.6,1016][9.0,2321][8.88888888888889,4692]"
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,6862,"[17.5,1][13.8,2][13.666666666666666,17][12.8,35][10.88888888888889,41][10.857142857142858,54][9.0,59]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,1090,"[17.5,1][13.8,6][13.666666666666666,34][10.88888888888889,36][10.857142857142858,39][9.0,379]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,6499,"[17.5,1][13.8,5][13.714285714285715,251][13.666666666666666,283][10.90909090909091,1069][10.894736842105264,1071][10.88888888888889,1073][10.714285714285715,1092][10.666666666666666,1093][10.333333333333332,1097][9.0,1231]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,330,"[13.8,1][10.90909090909091,41][10.88888888888889,87][10.857142857142858,201][10.333333333333332,231][9.0,239][8.88888888888889,285]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,6452,"[17.5,1][13.8,4][10.90909090909091,16][10.894736842105264,30][10.88888888888889,33][10.857142857142858,94][9.0,1108]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,4581,"[17.5,1][13.8,13][13.666666666666666,44][10.88888888888889,91][10.857142857142858,92][10.777777777777779,104][10.333333333333332,111][9.6,164][9.0,523]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,7125,"[17.5,1][13.8,2][13.666666666666666,16][12.8,90][10.88888888888889,96][10.857142857142858,115][9.0,142]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,2292,"[17.5,1][13.8,8][10.90909090909091,38][10.666666666666666,50][10.333333333333332,52][9.0,750]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,6912,"[17.5,1][13.8,15][13.666666666666666,42][10.88888888888889,60][10.857142857142858,68][10.333333333333332,247][9.0,249][8.88888888888889,5528]"
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,3043,"[17.5,1][13.8,2][13.666666666666666,25][10.90909090909091,195][10.88888888888889,235][10.777777777777779,243][9.0,558][8.88888888888889,3036]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,4834,"[17.5,1][13.8,3][12.857142857142858,89][10.90909090909091,104][10.777777777777779,121][9.818181818181818,123][9.75,125][9.6,126][9.0,176]"
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,5184,"[17.5,1][13.8,7][10.90909090909091,13][10.777777777777779,34][10.666666666666666,39][10.333333333333332,46][9.0,702]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,2675,"[13.8,1][12.857142857142858,101][10.90909090909091,354][10.894736842105264,974][9.916666666666666,1239][9.0,1439]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,4353,"[13.8,1][13.666666666666666,50][12.8,71][9.0,95]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,8517,"[16.5,1][13.8,2][13.666666666666666,16][10.88888888888889,77][9.0,638]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,8020,"[17.5,1][13.8,16][13.666666666666666,37][10.90909090909091,39][10.894736842105264,49][10.88888888888889,59][9.818181818181818,123][9.75,125][9.6,127][9.0,288]"
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,10383,"[16.5,1][13.8,7][13.666666666666666,32][9.0,485]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,8303,"[17.5,1][13.8,4][10.90909090909091,10][10.88888888888889,27][9.0,535]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,6401,"[13.8,1][13.666666666666666,4][10.88888888888889,18][10.5,30][10.333333333333332,46][9.0,1104]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,145,"[17.5,1][13.8,6][9.0,12][8.88888888888889,137]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,5500,"[17.5,1][13.8,5][12.857142857142858,15][12.8,27][10.88888888888889,44][10.857142857142858,80][9.0,681]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,6363,"[17.5,1][13.8,2][12.857142857142858,87][10.90909090909091,89][10.88888888888889,96][9.0,931][8.88888888888889,6359]"
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,4491,"[17.5,1][13.8,12][13.666666666666666,294][10.88888888888889,377][9.0,2125]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,7469,"[17.5,1][13.8,4][13.666666666666666,19][10.894736842105264,69][10.88888888888889,70][10.777777777777779,167][10.333333333333332,182][9.0,259]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,1464,"[13.8,1][12.857142857142858,5][10.90909090909091,6][10.857142857142858,7][10.666666666666666,16][10.333333333333332,17][9.0,425]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,1175,"[17.5,1][13.8,2][13.666666666666666,23][10.88888888888889,35][10.333333333333332,83][9.9,491][9.0,1023]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,3977,"[17.5,1][13.8,6][9.941176470588236,23][9.0,130]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,10684,"[17.5,1][13.8,17][10.90909090909091,107][10.857142857142858,116][9.0,4209]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,7258,"[13.8,1][12.857142857142858,13][10.90909090909091,40][9.0,56]"
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,1,"[18.833333333333336,1]"
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,101,"[18.833333333333336,1][13.90909090909091,10]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,145,"[18.833333333333336,1]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,1,"[18.833333333333336,1]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.333333333333300,160,"[18.833333333333336,1][13.90909090909091,8][13.6,69][13.333333333333332,72]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,281,"[18.833333333333336,1][13.90909090909091,36]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,79,"[18.833333333333336,1][13.90909090909091,23]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,2,"[18.833333333333336,1]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,9,"[18.833333333333336,1]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.5,124,"[18.833333333333336,1][13.90909090909091,4][13.5,121]"
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,42,"[18.833333333333336,1][13.90909090909091,6]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,284,"[18.833333333333336,1][13.90909090909091,5]"
