execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,9366,"[13.714285714285715,1][12.818181818181818,11][10.818181818181818,15][10.5,20][8.8,5596][8.75,7503][8.333333333333332,7528]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,6034,"[13.714285714285715,1][10.818181818181818,14][8.8,334][8.75,338][8.333333333333332,4643]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,6470,"[13.714285714285715,1][12.818181818181818,198][10.818181818181818,394][10.5,403][8.8,438][8.75,439][8.333333333333332,1610]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,1879,"[13.714285714285715,1][10.818181818181818,80][8.8,204][8.75,393][8.333333333333332,402]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,4576,"[15.666666666666666,1][13.8,2][13.714285714285715,4][12.818181818181818,93][10.818181818181818,99][10.666666666666666,150][10.5,155][8.8,185][8.75,526]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,7772,"[13.714285714285715,1][8.8,10][8.75,14][8.333333333333332,1065]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,5833,"[13.8,1][13.714285714285715,3][10.818181818181818,19][10.5,57][8.8,98][8.75,100][8.333333333333332,4599]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,1259,"[15.666666666666666,1][13.714285714285715,2][12.818181818181818,169][8.75,170]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,10.818181818181800,2639,"[13.8,1][13.714285714285715,3][10.818181818181818,107]"
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,5179,"[13.8,1][13.714285714285715,5][12.818181818181818,42][10.818181818181818,108][10.666666666666666,131][10.5,148][8.75,149][8.333333333333332,2828]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,6522,"[13.714285714285715,1][10.818181818181818,212][8.8,265][8.75,342]"
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,4598,"[13.714285714285715,1][10.818181818181818,10][10.666666666666666,152][8.8,156][8.75,218][8.333333333333332,492]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,898,"[13.714285714285715,1][10.818181818181818,13][9.8,19][9.777777777777779,23][8.8,148][8.75,152][8.333333333333332,292]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,1215,"[13.714285714285715,1][10.818181818181818,38][10.666666666666666,41][9.8,43][9.75,45][8.8,49][8.75,72][8.333333333333332,184]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,1355,"[13.8,1][13.714285714285715,3][12.818181818181818,26][10.818181818181818,32][8.75,277]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,478,"[13.714285714285715,1][10.818181818181818,77][10.666666666666666,96][8.8,135][8.75,143][8.333333333333332,266]"
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,5714,"[13.714285714285715,1][10.818181818181818,13][10.666666666666666,51][8.8,288][8.75,492][8.333333333333332,495]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,468,"[13.714285714285715,1][12.818181818181818,37][10.818181818181818,110][10.666666666666666,128][9.777777777777779,170][9.666666666666666,239][8.8,360][8.333333333333332,394]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,5547,"[13.8,1][13.714285714285715,2][10.818181818181818,13][10.666666666666666,26][8.8,705][8.75,930][8.333333333333332,947]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,1737,"[13.8,1][13.714285714285715,3][10.818181818181818,15][10.5,34][8.75,47][8.333333333333332,168]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,7806,"[13.714285714285715,1][10.818181818181818,60][8.8,1669][8.75,1673][8.333333333333332,2196]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,6094,"[15.666666666666666,1][13.714285714285715,2][10.818181818181818,34][8.8,183][8.75,191][8.333333333333332,5181]"
