execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,covered_goals,covered_goals_evolution
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1082,"[1.8333333333333335,1][1.6666666666666665,3][1.6,6][1.3333333333333333,8]",12/28,"[0/28,1][8/28,2][10/28,3][12/28,97]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1027,"[1.8333333333333335,1][1.6666666666666665,6][1.3333333333333333,7]",12/28,"[0/28,1][10/28,2][12/28,15]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1011,"[1.8333333333333335,1][1.3333333333333333,6]",12/28,"[0/28,1][5/28,2][9/28,3][10/28,4][12/28,99]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,619,"[3.333333333333333,1][1.8333333333333335,4][1.6,5][1.3333333333333333,12]",12/28,"[0/28,1][7/28,2][10/28,5][12/28,241]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,62,"[1.3333333333333333,1]",12/28,"[0/28,1][8/28,2][9/28,4][10/28,5][12/28,10]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,765,"[1.6,1][1.3333333333333333,2]",12/28,"[0/28,1][10/28,2][11/28,167][12/28,250]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,861,"[1.6666666666666665,1][1.3333333333333333,4]",12/28,"[0/28,1][10/28,2][11/28,72][12/28,111]"
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1036,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,6]",12/28,"[0/28,1][5/28,2][9/28,3][10/28,4][12/28,199]"
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,834,"[3.333333333333333,1][1.8333333333333335,2][1.3333333333333333,5]",12/28,"[0/28,1][8/28,3][9/28,7][10/28,10][11/28,52][12/28,188]"
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1069,"[1.8333333333333335,1][1.6,7][1.3333333333333333,9]",12/28,"[0/28,1][5/28,2][10/28,3][11/28,14][12/28,128]"
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,890,"[1.8333333333333335,1][1.6,3][1.3333333333333333,5]",12/28,"[0/28,1][9/28,2][10/28,5][12/28,582]"
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1096,"[1.8333333333333335,1][1.6,3][1.3333333333333333,4]",12/28,"[0/28,1][9/28,2][10/28,4][11/28,34][12/28,137]"
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,944,"[1.6666666666666665,1][1.3333333333333333,4]",12/28,"[0/28,1][5/28,2][9/28,3][10/28,7][11/28,15][12/28,371]"
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1093,"[1.8333333333333335,1][1.6666666666666665,5][1.3333333333333333,9]",12/28,"[0/28,1][8/28,2][9/28,3][10/28,5][11/28,14][12/28,55]"
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,997,"[3.333333333333333,1][1.6666666666666665,3][1.6,5][1.3333333333333333,6]",12/28,"[0/28,1][10/28,2][11/28,119][12/28,777]"
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1423,"[1.6,1][1.3333333333333333,2]",12/28,"[0/28,1][9/28,2][10/28,5][12/28,61]"
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,972,"[1.6,1][1.3333333333333333,10]",12/28,"[0/28,1][5/28,2][10/28,3][12/28,9]"
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1481,"[1.6666666666666665,1][1.6,3][1.3333333333333333,6]",12/28,"[0/28,1][9/28,2][10/28,3][11/28,14][12/28,16]"
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,710,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,3]",12/28,"[0/28,1][9/28,2][10/28,3][11/28,274][12/28,462]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,898,"[3.5,1][1.6666666666666665,2][1.3333333333333333,12]",12/28,"[0/28,1][2/28,2][6/28,3][9/28,4][10/28,87][11/28,297][12/28,682]"
